Gene_ID,Correlation
ENSG00000001461,0.547235850391124
ENSG00000002933,0.594382825055045
ENSG00000003393,0.544851716236629
ENSG00000003400,0.71267673495881
ENSG00000003509,0.720066605591948
ENSG00000003756,0.579203579472676
ENSG00000005302,0.651783873428152
ENSG00000005381,0.519243774967649
ENSG00000005801,0.559190377379595
ENSG00000005889,0.629897248226648
ENSG00000006530,0.746211709935062
ENSG00000006634,0.775741232855678
ENSG00000009694,0.54605980854865
ENSG00000010295,0.563875439489024
ENSG00000011295,0.573626843423142
ENSG00000013441,0.627579027766764
ENSG00000014641,0.549584761623306
ENSG00000014914,0.809706701665236
ENSG00000016864,0.84042696389128
ENSG00000018510,0.506791828263737
ENSG00000022556,0.816854954667877
ENSG00000023041,0.631689466807735
ENSG00000025156,0.681798043365642
ENSG00000026508,0.541898338602551
ENSG00000026950,0.519500867896433
ENSG00000029364,0.633852107798159
ENSG00000030419,0.615065968809861
ENSG00000033178,0.604838526263949
ENSG00000033867,0.502305684952101
ENSG00000035115,0.693651859511842
ENSG00000035141,0.628365790759879
ENSG00000036054,0.521912054565542
ENSG00000036549,0.528099326638463
ENSG00000038427,0.53980767665726
ENSG00000040341,0.523246226627928
ENSG00000047578,0.786256833962033
ENSG00000047621,0.593987232133792
ENSG00000047634,0.582957660450095
ENSG00000047932,0.583112203618643
ENSG00000050344,0.554771953886912
ENSG00000050426,0.519325366247949
ENSG00000052841,0.556924046185125
ENSG00000054983,0.512438433653339
ENSG00000058804,0.672962974168743
ENSG00000059378,0.552513695390487
ENSG00000061987,0.57763505613827
ENSG00000064012,0.576380301657507
ENSG00000064102,0.512430668281043
ENSG00000064115,0.558348312474021
ENSG00000064225,0.613712597950446
ENSG00000064607,0.588798765259668
ENSG00000064763,0.56097048649709
ENSG00000064995,0.507001238793332
ENSG00000065150,0.510792581381799
ENSG00000068885,0.524640678390102
ENSG00000069020,0.57690094852407
ENSG00000069493,0.618491018360359
ENSG00000070081,0.545164244424735
ENSG00000070214,0.531854884837117
ENSG00000070718,0.654281953517585
ENSG00000071073,0.604631165509341
ENSG00000071794,0.581573929655262
ENSG00000071994,0.54423721493273
ENSG00000072210,0.62792994927717
ENSG00000072274,0.637805567626344
ENSG00000072756,0.578002696822355
ENSG00000073331,0.623493276882467
ENSG00000073417,0.549494682735246
ENSG00000073737,0.521053706178518
ENSG00000074201,0.509678998893337
ENSG00000074696,0.692091283211778
ENSG00000074966,0.622380299908454
ENSG00000076003,0.646774208552447
